table_name,primary_key,field_name,field_type,nullable,required,default_value,is_foreign_key,foreign_table,foreign_column,source
adresses,id,actif,boolean,false,true,,false,,,types
adresses,id,adresse,string | null,true,false,,false,,,types
adresses,id,client_id,string | null,true,false,,true,clients,id,types
adresses,id,code_postal,string | null,true,false,,false,,,types
adresses,id,contact_nom,string | null,true,false,,false,,,types
adresses,id,contact_tel,string | null,true,false,,false,,,types
adresses,id,created_at,string,false,true,,false,,,types
adresses,id,horaires,string | null,true,false,,false,,,types
adresses,id,id,string,false,true,,false,,,types
adresses,id,instructions,string | null,true,false,,false,,,types
adresses,id,latitude,number | null,true,false,,false,,,types
adresses,id,longitude,number | null,true,false,,false,,,types
adresses,id,nom_lieu,string,false,true,,false,,,types
adresses,id,pays,string | null,true,false,,false,,,types
adresses,id,type_lieu,string | null,true,false,,false,,,types
adresses,id,updated_at,string,false,true,,false,,,types
adresses,id,ville,string,false,true,,false,,,types
affectations,id,id,string,false,true,,false,,,types
affectations,id,conducteur_id,string,false,true,,true,conducteurs,id,types
affectations,id,vehicule_id,string | null,true,false,,true,vehicules,id,types
affectations,id,remorque_id,string | null,true,false,,true,remorques,id,types
affectations,id,type_affectation,string,false,true,,false,,,types
affectations,id,date_debut,string | null,true,false,,false,,,types
affectations,id,date_fin,string | null,true,false,,false,,,types
affectations,id,actif,boolean,false,true,,false,,,types
affectations,id,notes,string | null,true,false,,false,,,types
affectations,id,created_at,string,false,true,,false,,,types
affectations,id,updated_at,string,false,true,,false,,,types
affretement_contract_equipments,"contract_id, equipment_id",contract_id,uuid,false,true,,true,affretement_contracts,id,migration
affretement_contract_equipments,"contract_id, equipment_id",equipment_id,uuid,false,true,,true,affreteur_equipments,id,migration
affretement_contract_equipments,"contract_id, equipment_id",created_at,timestamptz,false,true,now(),false,,,migration
affretement_contract_history,id,id,uuid,true,false,gen_random_uuid(),false,,,migration
affretement_contract_history,id,contract_id,uuid,false,true,,true,affretement_contracts,id,migration
affretement_contract_history,id,event_at,timestamptz,false,true,now(),false,,,migration
affretement_contract_history,id,actor_role,text,false,true,,false,,,migration
affretement_contract_history,id,actor_name,text,false,true,,false,,,migration
affretement_contract_history,id,message,text,false,true,,false,,,migration
affretement_contract_history,id,created_by,uuid,true,false,,false,,,migration
affretement_contract_history,id,created_at,timestamptz,false,true,now(),false,,,migration
affretement_contract_updates,id,id,uuid,true,false,gen_random_uuid(),false,,,migration
affretement_contract_updates,id,contract_id,uuid,false,true,,true,affretement_contracts,id,migration
affretement_contract_updates,id,status_key,text,false,true,,false,,,migration
affretement_contract_updates,id,event_at,timestamptz,false,true,now(),false,,,migration
affretement_contract_updates,id,note,text,true,false,,false,,,migration
affretement_contract_updates,id,gps_lat,"numeric(10,7)",true,false,,false,,,migration
affretement_contract_updates,id,gps_lng,"numeric(10,7)",true,false,,false,,,migration
affretement_contract_updates,id,created_by,uuid,true,false,,false,,,migration
affretement_contract_updates,id,created_at,timestamptz,false,true,now(),false,,,migration
affretement_contracts,id,id,uuid,true,false,gen_random_uuid(),false,,,migration
affretement_contracts,id,ot_id,uuid,false,true,,true,ordres_transport,id,migration
affretement_contracts,id,onboarding_id,uuid,false,true,,true,affreteur_onboardings,id,migration
affretement_contracts,id,status,text,false,true,'propose',false,,,migration
affretement_contracts,id,proposed_at,timestamptz,false,true,now(),false,,,migration
affretement_contracts,id,decided_at,timestamptz,true,false,,false,,,migration
affretement_contracts,id,updated_at,timestamptz,false,true,now(),false,,,migration
affretement_contracts,id,proposed_by_role,text,false,true,,false,,,migration
affretement_contracts,id,proposed_by_name,text,false,true,,false,,,migration
affretement_contracts,id,exploitation_note,text,true,false,,false,,,migration
affretement_contracts,id,affreteur_note,text,true,false,,false,,,migration
affretement_contracts,id,assigned_driver_id,uuid,true,false,,true,affreteur_drivers,id,migration
affretement_contracts,id,assigned_vehicle_id,uuid,true,false,,true,affreteur_vehicles,id,migration
affretement_contracts,id,created_at,timestamptz,false,true,now(),false,,,migration
affreteur_drivers,id,id,uuid,true,false,gen_random_uuid(),false,,,migration
affreteur_drivers,id,onboarding_id,uuid,false,true,,true,affreteur_onboardings,id,migration
affreteur_drivers,id,full_name,text,false,true,,false,,,migration
affreteur_drivers,id,email,text,false,true,,false,,,migration
affreteur_drivers,id,phone,text,true,false,,false,,,migration
affreteur_drivers,id,license_number,text,true,false,,false,,,migration
affreteur_drivers,id,active,boolean,false,true,true,false,,,migration
affreteur_drivers,id,created_at,timestamptz,false,true,now(),false,,,migration
affreteur_drivers,id,updated_at,timestamptz,false,true,now(),false,,,migration
affreteur_employees,id,id,uuid,true,false,gen_random_uuid(),false,,,migration
affreteur_employees,id,onboarding_id,uuid,false,true,,true,affreteur_onboardings,id,migration
affreteur_employees,id,full_name,text,false,true,,false,,,migration
affreteur_employees,id,email,text,false,true,,false,,,migration
affreteur_employees,id,role,text,false,true,,false,,,migration
affreteur_employees,id,permissions,text[],false,true,'{}'::text[],false,,,migration
affreteur_employees,id,active,boolean,false,true,true,false,,,migration
affreteur_employees,id,created_at,timestamptz,false,true,now(),false,,,migration
affreteur_employees,id,updated_at,timestamptz,false,true,now(),false,,,migration
affreteur_equipments,id,id,uuid,true,false,gen_random_uuid(),false,,,migration
affreteur_equipments,id,onboarding_id,uuid,false,true,,true,affreteur_onboardings,id,migration
affreteur_equipments,id,label,text,false,true,,false,,,migration
affreteur_equipments,id,kind,text,false,true,,false,,,migration
affreteur_equipments,id,serial_number,text,true,false,,false,,,migration
affreteur_equipments,id,active,boolean,false,true,true,false,,,migration
affreteur_equipments,id,created_at,timestamptz,false,true,now(),false,,,migration
affreteur_equipments,id,updated_at,timestamptz,false,true,now(),false,,,migration
affreteur_onboarding_history,id,id,uuid,true,false,gen_random_uuid(),false,,,migration
affreteur_onboarding_history,id,onboarding_id,uuid,false,true,,true,affreteur_onboardings,id,migration
affreteur_onboarding_history,id,event_at,timestamptz,false,true,now(),false,,,migration
affreteur_onboarding_history,id,actor_role,text,false,true,,false,,,migration
affreteur_onboarding_history,id,actor_name,text,false,true,,false,,,migration
affreteur_onboarding_history,id,message,text,false,true,,false,,,migration
affreteur_onboarding_history,id,created_by,uuid,true,false,,false,,,migration
affreteur_onboarding_history,id,created_at,timestamptz,false,true,now(),false,,,migration
affreteur_onboardings,id,id,uuid,true,false,gen_random_uuid(),false,,,migration
affreteur_onboardings,id,owner_profile_id,uuid,true,false,,true,profils,id,migration
affreteur_onboardings,id,submitted_at,timestamptz,false,true,now(),false,,,migration
affreteur_onboardings,id,updated_at,timestamptz,false,true,now(),false,,,migration
affreteur_onboardings,id,company_name,text,false,true,,false,,,migration
affreteur_onboardings,id,siret,text,false,true,,false,,,migration
affreteur_onboardings,id,vat_number,text,true,false,,false,,,migration
affreteur_onboardings,id,contact_email,text,false,true,,false,,,migration
